# /globalscratch/ucl/modl/rgouvea/MODNet_Perovskite_Benchmark/DATAFILES/MP_GapFeats_2.2final_custom_n_b
# Training MP_GapFeats_2.2final # Initial Number of Features: 1264
      architecture|           loss_fn|        batch_size|            epochs|     learning_rate|n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
     2.2custom_n_b                mse                 64                200             0.0005                1.0               1264           7.91e-05          7.694e-05         0.00087278         0.00068739         0.00478948         0.00877139          0.9950095         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.95               1200          7.916e-05           7.79e-05         0.00088537         0.00069768         0.00492061         0.00882593         0.99494795         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005                0.9               1137          8.662e-05           8.52e-05         0.00096093          0.0007572         0.00509886         0.00923048         0.99447353         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.85               1074          8.057e-05          8.463e-05         0.00095151         0.00074913          0.0050833         0.00919931         0.99451068         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005                0.8               1011          8.587e-05          8.037e-05         0.00090836         0.00071624          0.0050101         0.00896474         0.99478736         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.75                947          8.248e-05          8.401e-05         0.00095263         0.00075054         0.00506973         0.00916577         0.99455087         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005                0.7                884          8.602e-05          9.203e-05         0.00103723         0.00081744         0.00530926         0.00959326          0.9940301         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.65                821          8.661e-05          8.431e-05         0.00095818         0.00075614         0.00510781         0.00918211         0.99453156         0.23411467 
   > 2.2custom_n_b                mse                 64                200             0.0005                0.6                758           9.27e-05          9.447e-05         0.00106431          0.0008385         0.00541179         0.00971976         0.99387214         0.23411467 

# Training MP_GapFeats_2.2final2 # Initial Number of Features: 1264
      architecture|           loss_fn|        batch_size|            epochs|     learning_rate|n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
     2.2custom_n_b                mse                 64                200             0.0005               0.55                695           9.15e-05          0.0001033         0.00117604         0.00092679         0.00559004         0.01016345         0.99329917         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005                0.5                631          9.792e-05         0.00010592         0.00120343           0.000947         0.00573327         0.01029185         0.99312872         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.45                568         0.00010219         0.00011269         0.00127312           0.001002         0.00588028         0.01061548          0.9926909         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005                0.4                505         0.00010923         0.00011362         0.00128212         0.00101134         0.00592908         0.01065934         0.99262999         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.35                442         0.00011429         0.00012824         0.00146261         0.00115235          0.0062691         0.01132439         0.99168145         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005                0.3                379          0.0001294         0.00014365         0.00163417         0.00128753         0.00662447         0.01198552         0.99068158         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.25                316         0.00015313         0.00016425         0.00189013         0.00148867         0.00696203         0.01281592         0.98934564         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005                0.2                252         0.00018153         0.00018502         0.00212402         0.00167141          0.0073878         0.01360213         0.98799812         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.15                189         0.00023763         0.00023249         0.00267652         0.00210792         0.00809447         0.01524774         0.98491818         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005                0.1                126         0.00032624         0.00032374         0.00375532         0.00296006         0.00945216         0.01799266         0.97899919         0.23411467 
     2.2custom_n_b                mse                 64                200             0.0005               0.05                 63         0.00059153          0.0005874         0.00685622         0.00540328         0.01239628         0.02423626         0.96189474         0.23411467 
