# Training OFM_autoencode_optN # Initial Number of Features: 943
      architecture|           loss_fn|        batch_size|            epochs|     learning_rate|n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
     1.5custom_n_b                mse                 64                300              0.001                0.2                188          1.636e-05          1.795e-05         0.00353543          0.0034942         0.00076282         0.00423623         0.98606607         0.04004287 
     1.6custom_n_b                mse                 64                300              0.001                0.2                188           4.26e-06           4.86e-06           0.000932         0.00092082         0.00052949         0.00220389         0.99623872         0.04004287 
     1.7custom_n_b                mse                 64                300              0.001                0.2                188           4.24e-06           5.63e-06         0.00088681         0.00087462         0.00049453         0.00237203         0.99562315         0.04004287 
     1.8custom_n_b                mse                 64                300              0.001                0.2                188           4.75e-06           5.87e-06         0.00108093         0.00106829          0.0006255         0.00242199          0.9954842         0.04004287 
     1.9custom_n_b                mse                 64                300              0.001                0.2                188           3.58e-06           4.37e-06         0.00075273         0.00074268         0.00049323         0.00209144         0.99663363         0.04004287 
     2.0custom_n_b                mse                 64                300              0.001                0.2                188           1.32e-05          1.405e-05         0.00287615         0.00284034         0.00070676         0.00374804         0.98911167         0.04004287 
     2.1custom_n_b                mse                 64                300              0.001                0.2                188           4.43e-06           5.75e-06         0.00100302         0.00099303         0.00051916         0.00239858          0.9955376         0.04004287 
     2.2custom_n_b                mse                 64                300              0.001                0.2                188            4.4e-06           5.89e-06         0.00100914         0.00099786         0.00051583          0.0024279         0.99554075         0.04004287 
     2.3custom_n_b                mse                 64                300              0.001                0.2                188          2.598e-05          3.242e-05         0.00568363         0.00561806         0.00090201         0.00569346         0.97476748         0.04004287 
     2.4custom_n_b                mse                 64                300              0.001                0.2                188           3.89e-06           4.47e-06         0.00082417         0.00081555         0.00050204         0.00211393         0.99664816         0.04004287 
     > 2.5custom_n_b                mse                 64                300              0.001                0.2                188           4.06e-06           4.85e-06         0.00086183         0.00085309         0.00049908         0.00220115          0.9962556         0.04004287 
